country,sex,age_group,year,population_000
alb,m,adult,2016,894.7620239257812
alb,f,total,2016,1208.3240966796875
alb,f,youth,2016,251.7220001220703
alb,f,adult,2016,956.6019897460938
alb,mf,total,2017,2380.049072265625
alb,mf,youth,2017,502.0920104980469
alb,mf,adult,2017,1877.95703125
alb,m,total,2017,1165.29296875
alb,m,youth,2017,257.79400634765625
alb,m,adult,2017,907.4990234375
alb,f,total,2017,1214.756103515625
alb,f,youth,2017,244.29800415039062
alb,f,adult,2017,970.4580078125
alb,mf,total,2018,2390.695068359375
alb,mf,youth,2018,484.0450134277344
alb,mf,adult,2018,1906.6500244140625
alb,m,total,2018,1170.64599609375
alb,m,youth,2018,248.82200622558594
alb,m,adult,2018,921.823974609375
alb,f,total,2018,1220.049072265625
alb,f,youth,2018,235.22300720214844
alb,f,adult,2018,984.8259887695312
alb,mf,total,2019,2398.031982421875
alb,mf,youth,2019,463.83099365234375
alb,mf,adult,2019,1934.2010498046875
alb,m,total,2019,1174.530029296875
alb,m,youth,2019,238.83700561523438
alb,m,adult,2019,935.6929931640625
alb,f,total,2019,1223.501953125
alb,f,youth,2019,224.99400329589844
alb,f,adult,2019,998.5079956054688
alb,mf,total,2020,2401.178955078125
alb,mf,youth,2020,442.2070007324219
alb,mf,adult,2020,1958.9720458984375
alb,m,total,2020,1176.0350341796875
alb,m,youth,2020,228.06199645996094
alb,m,adult,2020,947.9730224609375
alb,f,total,2020,1225.1439208984375
alb,f,youth,2020,214.14500427246094
alb,f,adult,2020,1010.9990234375
dza,mf,total,1991,15197.8330078125
dza,mf,youth,1991,5494.1240234375
dza,mf,adult,1991,9703.708984375
dza,m,total,1991,7648.2109375
dza,m,youth,1991,2799.741943359375
dza,m,adult,1991,4848.46923828125
dza,f,total,1991,7549.6220703125
dza,f,youth,1991,2694.382080078125
dza,f,adult,1991,4855.240234375
dza,mf,total,1992,15730.5126953125
dza,mf,youth,1992,5667.33203125
dza,mf,adult,1992,10063.1806640625
dza,m,total,1992,7919.31103515625
dza,m,youth,1992,2883.964111328125
dza,m,adult,1992,5035.34716796875
dza,f,total,1992,7811.20166015625
dza,f,youth,1992,2783.367919921875
dza,f,adult,1992,5027.833984375
dza,mf,total,1993,16279.8115234375
dza,mf,youth,1993,5848.22900390625
dza,mf,adult,1993,10431.5830078125
dza,m,total,1993,8198.4189453125
dza,m,youth,1993,2972.882080078125
dza,m,adult,1993,5225.537109375
dza,f,total,1993,8081.392578125
dza,f,youth,1993,2875.346923828125
dza,f,adult,1993,5206.0458984375
dza,mf,total,1994,16846.30078125
